CNN,the_geom,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
6709000,"LINESTRING (-122.39031948388298 37.78813450234439, -122.39117965804613 37.787455186972764)",30,HARRISON ST,39.77,11.11,28.4,33.76,38.32
6710000,"LINESTRING (-122.39117965804613 37.787455186972764, -122.39205296294394 37.78676548321337)",30,HARRISON ST,39.77,11.11,28.4,33.76,38.32
6719000,"LINESTRING (-122.39961623244395 37.78079148306888, -122.40184327335723 37.77903213358389)",30,HARRISON ST,48,15,29.55,33.88,38
194101,"LINESTRING (-122.38775628064698 37.75283561191084, -122.38767895622722 37.75275271855192, -122.38757222629916 37.751639193810746, -122.38763397457048 37.7515596035663)",30,3RD ST,58.5,25.5,31.26,34.89,38.63
194201,"LINESTRING (-122.38775628064698 37.75283561191084, -122.38781677990747 37.752742975819686, -122.38771113084314 37.75164075762112, -122.38763397457048 37.7515596035663)",30,3RD ST,58.5,25.5,31.26,34.89,38.63
195101,"LINESTRING (-122.38763397457048 37.7515596035663, -122.38756157842687 37.751464725174806, -122.38751473618196 37.75037845086958, -122.38758527038996 37.75026337777401)",30,3RD ST,58.5,25.5,31.26,34.89,38.63
195201,"LINESTRING (-122.38763397457048 37.7515596035663, -122.38769617840049 37.751460023353296, -122.38765241100529 37.75036860788327, -122.38758527038996 37.75026337777401)",30,3RD ST,58.5,25.5,31.26,34.89,38.63
156000,"LINESTRING (-122.46093126968522 37.77923467970178, -122.46079634101544 37.77738032552368)",0,3RD AVE,54.57,15.55,24.32,28.72,33.05
185103,"LINESTRING (-122.38945760584184 37.77111410858067, -122.38941428467454 37.77066089211494)",35,3RD ST,63,18,31.09,33.97,38.89
185104,"LINESTRING (-122.38941428467454 37.77066089211494, -122.38923872109746 37.76882409301653)",35,3RD ST,63,18,31.09,33.97,38.89
185105,"LINESTRING (-122.38923872109746 37.76882409301653, -122.38906777448646 37.76703551703647, -122.38909910443014 37.766903479306556)",35,3RD ST,63,18,31.09,33.97,38.89
185203,"LINESTRING (-122.38959559970314 37.77110579720984, -122.38955227770106 37.770652580882)",35,3RD ST,63,18,31.09,33.97,38.89
185204,"LINESTRING (-122.38955227770106 37.770652580882, -122.38946668821653 37.76975714296735)",35,3RD ST,63,18,31.09,33.97,38.89
185205,"LINESTRING (-122.38946668821653 37.76975714296735, -122.38928673539192 37.7678744198165)",35,3RD ST,63,18,31.09,33.97,38.89
185206,"LINESTRING (-122.38928673539192 37.7678744198165, -122.38920576079316 37.76702720523729, -122.38909910443014 37.766903479306556)",35,3RD ST,63,18,31.09,33.97,38.89
188101,"LINESTRING (-122.38873799832506 37.76304827898269, -122.388656045785 37.76295566963067, -122.38862974615532 37.76185845019952, -122.38868401627488 37.7617664444665)",30,3RD ST,50.5,13.5,30.04,33.91,39.15
188201,"LINESTRING (-122.38873799832506 37.76304827898269, -122.38877594380254 37.76295095452699, -122.38874964231445 37.76185373160715, -122.38868401627488 37.7617664444665)",30,3RD ST,50.5,13.5,30.04,33.91,39.15
208101,"LINESTRING (-122.38958738016719 37.737955395830646, -122.38956115842146 37.737842639647276, -122.38977508356065 37.73723583567491, -122.38986446223718 37.73716953253406)",30,3RD ST,15.08,4.52,25.34,33.5,37
208201,"LINESTRING (-122.38958738016719 37.737955395830646, -122.38968799255207 37.737880760198784, -122.38989399053801 37.73729650544076, -122.38986446223718 37.73716953253406)",30,3RD ST,15.08,4.52,25.34,33.5,37
215101,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39151389560904 37.73226259244795, -122.39169230631661 37.731752624084756, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62
215201,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39164002698361 37.73229541661345, -122.39182015573245 37.73178053586789, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62
226101,"LINESTRING (-122.39492615227621 37.723972563815195, -122.39492330467891 37.723829988747326, -122.39515648833425 37.72331688863376, -122.39526464711122 37.723222334586296)",30,3RD ST,41,9,28.48,33.34,38.11
226201,"LINESTRING (-122.39492615227621 37.723972563815195, -122.39506372833699 37.723870061198205, -122.39529652484808 37.72336049882411, -122.39526464711122 37.723222334586296)",30,3RD ST,41,9,28.48,33.34,38.11
335000,"LINESTRING (-122.40561526669445 37.778505104812936, -122.40506850926839 37.7780689813613)",25,6TH ST,68,23.5,26.75,29.17,33.28
336000,"LINESTRING (-122.40506850926839 37.7780689813613, -122.40460550598151 37.77769965946562)",25,6TH ST,68,23.5,26.75,29.17,33.28
337000,"LINESTRING (-122.40460550598151 37.77769965946562, -122.4040702566009 37.777272702035084)",25,6TH ST,68,23.5,26.75,29.17,33.28
252000,"LINESTRING (-122.40426687250145 37.78447874487484, -122.403711753445 37.784044438029106)",0,4TH ST,57,9,25.1,27.79,32
253000,"LINESTRING (-122.403711753445 37.784044438029106, -122.40270815395242 37.78325923628577)",0,4TH ST,57,9,25.1,27.79,32
259000,"LINESTRING (-122.39961623244395 37.78079148306888, -122.39907963433104 37.78036288754962)",0,4TH ST,69,32,27.35,30.12,33.72
260000,"LINESTRING (-122.39907963433104 37.78036288754962, -122.39859952108503 37.779979400500466)",0,4TH ST,69,32,27.35,30.12,33.72
261000,"LINESTRING (-122.39859952108503 37.779979400500466, -122.39805994016146 37.77956691079729)",0,4TH ST,42,16,29.1,34.26,37.94
262000,"LINESTRING (-122.39805994016146 37.77956691079729, -122.39753890650911 37.7791322234556)",0,4TH ST,42,16,29.1,34.26,37.94
263000,"LINESTRING (-122.39753890650911 37.7791322234556, -122.39706171615023 37.778751053428685)",0,4TH ST,74,35,27.7,29.77,32.86
264000,"LINESTRING (-122.39706171615023 37.778751053428685, -122.3965306381063 37.778326831424806)",0,4TH ST,74,35,27.7,29.77,32.86
19397000,"LINESTRING (-122.36981739411644 37.72917407811868, -122.36993974821738 37.72908074579415, -122.37047756505763 37.72903354710474, -122.37054481735885 37.729061679548295, -122.37200569751843 37.72987387508275)",35,INNES AVE,71.5,39.5,37.85,40.99,44.22
15106101,"LINESTRING (-122.46830960848636 37.73741714787296, -122.46843197779349 37.737282821509076, -122.46876259264766 37.73705468588605, -122.46924791014459 37.73664760505967)",35,PORTOLA DR,23.5,5,31.35,38.38,43.5
